suburb,rooms,type,price,method,sellerg,distance,bedroom2,bathroom,car,landsize,yearbuilt,councilarea,regionname,year,month,day,season,street_name
Abbotsford,2,h,1480000.0,S,Biggin,2.5,2.0,1.0,1.0,202.0,,Yarra,Northern Metropolitan,2016,3,12,Spring,Turner
Abbotsford,2,h,1035000.0,S,Biggin,2.5,2.0,1.0,0.0,156.0,1900.0,Yarra,Northern Metropolitan,2016,4,2,Spring,Bloomburg
Abbotsford,3,h,1465000.0,SP,Biggin,2.5,3.0,2.0,0.0,134.0,1900.0,Yarra,Northern Metropolitan,2017,4,3,Spring,Charles
Abbotsford,3,h,850000.0,PI,Biggin,2.5,3.0,2.0,1.0,94.0,,Yarra,Northern Metropolitan,2017,4,3,Spring,Federation
Abbotsford,4,h,1600000.0,VB,Nelson,2.5,3.0,1.0,2.0,120.0,2014.0,Yarra,Northern Metropolitan,2016,4,6,Spring,Park
Abbotsford,2,h,941000.0,S,Jellis,2.5,2.0,1.0,0.0,181.0,,Yarra,Northern Metropolitan,2016,7,5,Summer,Charles
Abbotsford,3,h,1876000.0,S,Nelson,2.5,4.0,2.0,0.0,245.0,1910.0,Yarra,Northern Metropolitan,2016,7,5,Summer,Yarra
Abbotsford,2,h,1636000.0,S,Nelson,2.5,2.0,1.0,2.0,256.0,1890.0,Yarra,Northern Metropolitan,2016,8,10,Summer,Charles
Abbotsford,1,u,300000.0,S,Biggin,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,8,10,Summer,Nicholson
Abbotsford,2,h,1097000.0,S,Biggin,2.5,3.0,1.0,2.0,220.0,1900.0,Yarra,Northern Metropolitan,2016,8,10,Summer,Valiant
Abbotsford,2,u,700000.0,VB,Jellis,2.5,2.0,2.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,12,11,Winter,Grosvenor
Abbotsford,3,h,1350000.0,VB,Nelson,2.5,3.0,2.0,2.0,214.0,2005.0,Yarra,Northern Metropolitan,2016,12,11,Winter,Nicholson
Abbotsford,2,u,750000.0,S,Biggin,2.5,2.0,2.0,1.0,0.0,2009.0,Yarra,Northern Metropolitan,2016,12,11,Winter,Nicholson
Abbotsford,2,h,1172500.0,S,Biggin,2.5,2.0,1.0,1.0,195.0,,Yarra,Northern Metropolitan,2016,8,13,Summer,William
Abbotsford,1,u,441000.0,SP,Greg,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,5,14,Spring,Abbotsford
Abbotsford,2,h,1310000.0,S,Jellis,2.5,2.0,1.0,2.0,238.0,1890.0,Yarra,Northern Metropolitan,2016,10,15,Autumn,William
Abbotsford,3,h,1200000.0,S,Jellis,2.5,3.0,2.0,1.0,113.0,1880.0,Yarra,Northern Metropolitan,2016,7,16,Summer,Henry
Abbotsford,3,h,1176500.0,S,LITTLE,2.5,2.0,1.0,1.0,138.0,1890.0,Yarra,Northern Metropolitan,2016,7,16,Summer,Yarra
Abbotsford,3,h,955000.0,S,Collins,2.5,3.0,1.0,0.0,183.0,,Yarra,Northern Metropolitan,2016,9,17,Autumn,Nicholson
Abbotsford,2,h,890000.0,S,Biggin,2.5,2.0,1.0,1.0,150.0,1985.0,Yarra,Northern Metropolitan,2016,9,17,Autumn,Valiant
Abbotsford,4,h,1330000.0,PI,Kay,2.5,4.0,2.0,2.0,780.0,1900.0,Yarra,Northern Metropolitan,2017,3,18,Spring,Charles
Abbotsford,3,t,900000.0,S,Beller,2.5,3.0,2.0,2.0,0.0,2010.0,Yarra,Northern Metropolitan,2017,3,18,Spring,Nicholson
Abbotsford,3,u,1090000.0,S,Jellis,2.5,3.0,2.0,2.0,4290.0,,Yarra,Northern Metropolitan,2017,3,18,Spring,Nicholson
Abbotsford,2,u,500000.0,S,Collins,2.5,2.0,1.0,1.0,0.0,1970.0,Yarra,Northern Metropolitan,2016,6,18,Summer,Nicholson
Abbotsford,2,h,1100000.0,PI,Biggin,2.5,2.0,2.0,1.0,124.0,2013.0,Yarra,Northern Metropolitan,2016,6,18,Summer,William
Abbotsford,2,h,1315000.0,S,Marshall,2.5,2.0,1.0,0.0,147.0,1900.0,Yarra,Northern Metropolitan,2016,11,19,Autumn,Park
Abbotsford,1,u,426000.0,SP,Greg,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,8,22,Summer,Abbotsford
Abbotsford,3,h,1447500.0,PI,Nelson,2.5,3.0,3.0,1.0,166.0,2012.0,Yarra,Northern Metropolitan,2016,8,22,Summer,Abbotsford
Abbotsford,1,u,457000.0,S,Jellis,2.5,1.0,1.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,8,22,Summer,Nicholson
Abbotsford,2,h,1135000.0,S,Nelson,2.5,2.0,2.0,2.0,98.0,1920.0,Yarra,Northern Metropolitan,2016,8,22,Summer,Park
Abbotsford,4,h,1542000.0,S,Collins,2.5,4.0,3.0,1.0,0.0,,Yarra,Northern Metropolitan,2016,9,24,Autumn,Turner
Abbotsford,3,h,1290000.0,S,Biggin,2.5,3.0,2.0,2.0,147.0,,Yarra,Northern Metropolitan,2017,2,25,Winter,Gipps
Abbotsford,3,h,1290000.0,S,Biggin,2.5,3.0,1.0,1.0,168.0,1950.0,Yarra,Northern Metropolitan,2017,2,25,Winter,Stafford
Abbotsford,1,u,470000.0,S,Nelson,2.5,1.0,1.0,1.0,0.0,2013.0,Yarra,Northern Metropolitan,2016,7,26,Summer,Gipps
